X,Y,R,G,B,Temperature_C
0,0,231,212,191,1500.0
0,1,231,212,191,1499.1089108910892
0,2,231,212,191,1498.2178217821781
0,3,231,212,191,1497.3267326732673
0,4,231,212,191,1496.4356435643565
0,5,231,209,188,1495.5445544554455
0,6,231,209,188,1494.6534653465346
0,7,231,209,188,1493.7623762376238
0,8,231,209,188,1492.8712871287128
0,9,231,206,184,1491.980198019802
0,10,231,206,184,1491.0891089108911
0,11,231,206,184,1490.1980198019803
0,12,231,206,184,1489.3069306930693
0,13,231,203,181,1488.4158415841584
0,14,231,203,181,1487.5247524752476
0,15,231,203,181,1486.6336633663366
0,16,231,203,181,1485.7425742574258
0,17,231,200,177,1484.851485148515
0,18,231,200,177,1483.960396039604
0,19,231,200,177,1483.069306930693
0,20,231,200,177,1482.1782178217823
0,21,231,200,177,1481.2871287128712
0,22,231,197,173,1480.3960396039604
0,23,231,197,173,1479.5049504950496
0,24,231,197,173,1478.6138613861385
0,25,231,197,173,1477.7227722772277
0,26,231,194,170,1476.8316831683169
0,27,231,194,170,1475.9405940594058
0,28,231,194,170,1475.049504950495
0,29,231,194,170,1474.1584158415842
0,30,231,191,167,1473.2673267326732
0,31,231,191,167,1472.3762376237623
0,32,231,191,167,1471.4851485148515
0,33,231,191,167,1470.5940594059407
0,34,231,188,163,1469.7029702970297
0,35,231,188,163,1468.8118811881188
0,36,231,188,163,1467.920792079208
0,37,231,188,163,1467.029702970297
0,38,231,185,160,1466.1386138613861
0,39,231,185,160,1465.2475247524753
0,40,231,185,160,1464.3564356435643
0,41,231,185,160,1463.4653465346535
0,42,231,185,160,1462.5742574257426
0,43,231,182,156,1461.6831683168316
0,44,231,182,156,1460.7920792079208
0,45,231,182,156,1459.90099009901
0,46,231,182,156,1459.009900990099
0,47,231,178,153,1458.118811881188
0,48,231,178,153,1457.2277227722773
0,49,231,178,153,1456.3366336633662
0,50,231,178,153,1455.4455445544554
0,51,231,174,150,1454.5544554455446
0,52,231,174,150,1453.6633663366338
0,53,231,174,150,1452.7722772277227
0,54,231,174,150,1451.881188118812
0,55,231,170,147,1450.990099009901
0,56,231,170,147,1450.09900990099
0,57,231,170,147,1449.2079207920792
0,58,231,170,147,1448.3168316831684
0,59,231,166,144,1447.4257425742574
0,60,231,166,144,1446.5346534653465
0,61,231,166,144,1445.6435643564357
0,62,231,166,144,1444.7524752475247
0,63,231,166,144,1443.8613861386139
0,64,231,162,141,1442.970297029703
0,65,231,162,141,1442.079207920792
0,66,231,162,141,1441.1881188118812
0,67,231,162,141,1440.2970297029703
0,68,231,157,138,1439.4059405940593
0,69,231,157,138,1438.5148514851485
0,70,231,157,138,1437.6237623762377
0,71,231,157,138,1436.7326732673266
0,72,231,153,136,1435.8415841584158
0,73,231,153,136,1434.950495049505
0,74,231,153,136,1434.0594059405942
0,75,231,153,136,1433.1683168316831
0,76,231,148,133,1432.2772277227723
0,77,231,148,133,1431.3861386138615
0,78,231,148,133,1430.4950495049504
0,79,231,148,133,1429.6039603960396
0,80,231,148,133,1428.7128712871288
0,81,231,143,130,1427.8217821782177
0,82,231,143,130,1426.930693069307
0,83,231,143,130,1426.039603960396
0,84,231,143,130,1425.148514851485
0,85,231,139,128,1424.2574257425742
0,86,231,139,128,1423.3663366336634
0,87,231,139,128,1422.4752475247524
0,88,231,139,128,1421.5841584158416
0,89,231,135,125,1420.6930693069307
0,90,231,135,125,1419.80198019802
0,91,231,135,125,1418.9108910891089
0,92,231,135,125,1418.019801980198
0,93,231,131,123,1417.1287128712872
0,94,231,131,123,1416.2376237623762
0,95,231,131,123,1415.3465346534654
0,96,231,131,123,1414.4554455445545
0,97,231,126,121,1413.5643564356435
0,98,231,126,121,1412.6732673267327
0,99,231,126,121,1411.7821782178219
0,100,231,126,121,1410.8910891089108
0,101,231,126,121,1410.0
0,102,231,122,119,1409.1089108910892
0,103,231,122,119,1408.2178217821781
0,104,231,122,119,1407.3267326732673
0,105,231,122,119,1406.4356435643565
0,106,231,117,116,1405.5445544554455
0,107,231,117,116,1404.6534653465346
0,108,231,117,116,1403.7623762376238
0,109,231,117,116,1402.871287128713
0,110,231,113,114,1401.980198019802
0,111,231,113,114,1401.0891089108911
0,112,231,113,114,1400.19801980198
0,113,231,113,114,1399.3069306930693
0,114,231,109,112,1398.4158415841584
0,115,231,109,112,1397.5247524752476
0,116,231,109,112,1396.6336633663366
0,117,231,109,112,1395.7425742574258
0,118,231,105,110,1394.851485148515
0,119,231,105,110,1393.960396039604
0,120,231,105,110,1393.069306930693
0,121,231,105,110,1392.1782178217823
0,122,231,105,110,1391.2871287128712
0,123,231,102,108,1390.3960396039604
0,124,231,102,108,1389.5049504950496
0,125,231,102,108,1388.6138613861385
0,126,231,102,108,1387.7227722772277
0,127,231,98,106,1386.8316831683169
